format,input_dtype,output_dtype,mode,round,distribution,max_abs,mae,mse,payload_ratio,file_ratio
1,1,0,0,0,uniform,0.0625,0.0208577573592,0.000744234718084,1.9328358209,1.93039369166
1,1,0,0,0,normal,0.25,0.0358470688556,0.00279582844779,1.9328358209,1.93039369166
1,1,0,0,0,outliers,17.75,0.0691900060951,0.237843371916,1.9328358209,1.93039369166
1,1,0,0,1,uniform,0.12353515625,0.0278623988794,0.00149661434359,1.9328358209,1.93039369166
1,1,0,0,1,normal,0.49609375,0.0477865026839,0.00559698145578,1.9328358209,1.93039369166
1,1,0,0,1,outliers,46.25,0.0931841239257,0.524471367528,1.9328358209,1.93039369166
1,1,0,1,0,uniform,0.0625,0.0208577573592,0.000744234718084,1.99996995373,1.99733037375
1,1,0,1,0,normal,0.25,0.0358470688556,0.00279582844779,1.99996995373,1.99733037375
1,1,0,1,0,outliers,17.75,0.0691900060951,0.237843371916,1.99996995373,1.99733037375
1,1,0,1,1,uniform,0.12353515625,0.0278623988794,0.00149661434359,1.99996995373,1.99733037375
1,1,0,1,1,normal,0.49609375,0.0477865026839,0.00559698145578,1.99996995373,1.99733037375
1,1,0,1,1,outliers,46.25,0.0931841239257,0.524471367528,1.99996995373,1.99733037375
1,1,1,0,0,uniform,0.0625,0.0208577573592,0.000744234718084,1.9328358209,1.93039369166
1,1,1,0,0,normal,0.25,0.0358470688556,0.00279582844779,1.9328358209,1.93039369166
1,1,1,0,0,outliers,17.75,0.0691900060951,0.237843371916,1.9328358209,1.93039369166
1,1,1,0,1,uniform,0.12353515625,0.0278623988794,0.00149661434359,1.9328358209,1.93039369166
1,1,1,0,1,normal,0.49609375,0.0477865026839,0.00559698145578,1.9328358209,1.93039369166
1,1,1,0,1,outliers,46.25,0.0931841239257,0.524471367528,1.9328358209,1.93039369166
1,1,1,1,0,uniform,0.0625,0.0208577573592,0.000744234718084,1.99996995373,1.99733037375
1,1,1,1,0,normal,0.25,0.0358470688556,0.00279582844779,1.99996995373,1.99733037375
1,1,1,1,0,outliers,17.75,0.0691900060951,0.237843371916,1.99996995373,1.99733037375
1,1,1,1,1,uniform,0.12353515625,0.0278623988794,0.00149661434359,1.99996995373,1.99733037375
1,1,1,1,1,normal,0.49609375,0.0477865026839,0.00559698145578,1.99996995373,1.99733037375
1,1,1,1,1,outliers,46.25,0.0931841239257,0.524471367528,1.99996995373,1.99733037375
1,1,2,0,0,uniform,0.0625,0.0208577573592,0.000744234718084,1.9328358209,1.93039369166
1,1,2,0,0,normal,0.25,0.0358470688556,0.00279582844779,1.9328358209,1.93039369166
